Project,Name,StartDate,EndDate,PlannedVelocity,State,Theme,Notes,dataset
Consumer Site,Iteration 8,12/18/2017 9:35,12/31/2017 9:35,22,Planning,<ul><li>Similar Products</li></ul>,,Summer
Fulfillment Team,Iteration 8,12/18/2017 9:35,12/31/2017 9:35,22,Planning,<ul><li>Similar Products</li></ul>,,Summer
Online Store,Iteration 8,12/18/2017 9:35,12/31/2017 9:35,22,Planning,<ul><li>Similar Products</li></ul>,,Summer
Payment Team,Iteration 8,12/18/2017 9:35,12/31/2017 9:35,22,Planning,<ul><li>Similar Products</li></ul>,,Summer
Platform,Iteration 8,12/18/2017 9:35,12/31/2017 9:35,22,Planning,<ul><li>Similar Products</li></ul>,,Summer
Reseller Portal Team,Iteration 8,12/18/2017 9:35,12/31/2017 9:35,22,Planning,<ul><li>Similar Products</li></ul>,,Summer
Reseller Site,Iteration 8,12/18/2017 9:35,12/31/2017 9:35,22,Planning,<ul><li>Similar Products</li></ul>,,Summer
Shopping Team,Iteration 8,12/18/2017 9:35,12/31/2017 9:35,22,Planning,<ul><li>Similar Products</li></ul>,,Summer
Analytics Team,Iteration 9,1/1/2018 9:35,1/14/2018 9:35,20,Planning,<ul><li>Personal Shopping Assistant</li></ul>,,Summer
API Team,Iteration 9,1/1/2018 9:35,1/14/2018 9:35,20,Planning,<ul><li>Personal Shopping Assistant</li></ul>,,Summer
Consumer Site,Iteration 9,1/1/2018 9:35,1/14/2018 9:35,20,Planning,<ul><li>Personal Shopping Assistant</li></ul>,,Summer
Fulfillment Team,Iteration 9,1/1/2018 9:35,1/14/2018 9:35,20,Planning,<ul><li>Personal Shopping Assistant</li></ul>,,Summer
Online Store,Iteration 9,1/1/2018 9:35,1/14/2018 9:35,20,Planning,<ul><li>Personal Shopping Assistant</li></ul>,,Summer
Payment Team,Iteration 9,1/1/2018 9:35,1/14/2018 9:35,20,Planning,<ul><li>Personal Shopping Assistant</li></ul>,,Summer
Platform,Iteration 9,1/1/2018 9:35,1/14/2018 9:35,20,Planning,<ul><li>Personal Shopping Assistant</li></ul>,,Summer
Reseller Portal Team,Iteration 9,1/1/2018 9:35,1/14/2018 9:35,20,Planning,<ul><li>Personal Shopping Assistant</li></ul>,,Summer
Reseller Site,Iteration 9,1/1/2018 9:35,1/14/2018 9:35,20,Planning,<ul><li>Personal Shopping Assistant</li></ul>,,Summer
Shopping Team,Iteration 9,1/1/2018 9:35,1/14/2018 9:35,20,Planning,<ul><li>Personal Shopping Assistant</li></ul>,,Summer
,,,,,,,,Summer
,,,,,,,,Summer
,,,,,,,,Summer
,,,,,,,,Summer
,,,,,,,,Summer
,,,,,,,,Summer
,,,,,,,,Summer
,,,,,,,,Summer
,,,,,,,,Summer
,,,,,,,,Summer
,,,,,,,,Summer
,,,,,,,,Summer
,,,,,,,,Summer
,,,,,,,,Summer
,,,,,,,,Summer
,,,,,,,,Summer
,,,,,,,,Summer
,,,,,,,,Summer
,,,,,,,,Summer
,,,,,,,,Summer
,,,,,,,,Summer
,,,,,,,,Summer
,,,,,,,,Summer
,,,,,,,,Summer
,,,,,,,,Summer
,,,,,,,,Summer
,,,,,,,,Summer
,,,,,,,,Summer
,,,,,,,,Summer
,,,,,,,,Summer
,,,,,,,,Summer
,,,,,,,,Summer
Analytics Team,Iteration 10,1/15/2018 9:35,1/28/2018 9:35,20,Planning,<ul><li>Custom Ordering</li></ul>,,
API Team,Iteration 10,1/15/2018 9:35,1/28/2018 9:35,20,Planning,<ul><li>Custom Ordering</li></ul>,,
Consumer Site,Iteration 10,1/15/2018 9:35,1/28/2018 9:35,20,Planning,<ul><li>Custom Ordering</li></ul>,,
Fulfillment Team,Iteration 10,1/15/2018 9:35,1/28/2018 9:35,20,Planning,<ul><li>Custom Ordering</li></ul>,,
Online Store,Iteration 10,1/15/2018 9:35,1/28/2018 9:35,20,Planning,<ul><li>Custom Ordering</li></ul>,,
Payment Team,Iteration 10,1/15/2018 9:35,1/28/2018 9:35,20,Planning,<ul><li>Custom Ordering</li></ul>,,
Platform,Iteration 10,1/15/2018 9:35,1/28/2018 9:35,20,Planning,<ul><li>Custom Ordering</li></ul>,,
Reseller Portal Team,Iteration 10,1/15/2018 9:35,1/28/2018 9:35,20,Planning,<ul><li>Custom Ordering</li></ul>,,
Reseller Site,Iteration 10,1/15/2018 9:35,1/28/2018 9:35,20,Planning,<ul><li>Custom Ordering</li></ul>,,
Shopping Team,Iteration 10,1/15/2018 9:35,1/28/2018 9:35,20,Planning,<ul><li>Enhanced notifications</li></ul>,,
Analytics Team,Iteration 11,1/29/2018 9:35,2/11/2018 9:35,20,Planning,<ul><li>Enhanced notifications</li></ul>,,
API Team,Iteration 11,1/29/2018 9:35,2/11/2018 9:35,20,Planning,<ul><li>Enhanced notifications</li></ul>,,
Consumer Site,Iteration 11,1/29/2018 9:35,2/11/2018 9:35,20,Planning,<ul><li>Enhanced notifications</li></ul>,,
Fulfillment Team,Iteration 11,1/29/2018 9:35,2/11/2018 9:35,20,Planning,<ul><li>Enhanced notifications</li></ul>,,
Online Store,Iteration 11,1/29/2018 9:35,2/11/2018 9:35,20,Planning,<ul><li>Enhanced notifications</li></ul>,,
Payment Team,Iteration 11,1/29/2018 9:35,2/11/2018 9:35,20,Planning,<ul><li>Enhanced notifications</li></ul>,,
Platform,Iteration 11,1/29/2018 9:35,2/11/2018 9:35,20,Planning,<ul><li>Enhanced notifications</li></ul>,,
Reseller Portal Team,Iteration 11,1/29/2018 9:35,2/11/2018 9:35,20,Planning,<ul><li>Enhanced notifications</li></ul>,,
Reseller Site,Iteration 11,1/29/2018 9:35,2/11/2018 9:35,20,Planning,<ul><li>Enhanced notifications</li></ul>,,
Shopping Team,Iteration 11,1/29/2018 9:35,2/11/2018 9:35,20,Planning,<ul><li>Enhanced notifications</li></ul>,,
Analytics Team,Iteration 12,2/12/2018 9:35,2/25/2018 9:35,20,Planning,<ul><li>Order Experience 2.0</li></ul>,,
API Team,Iteration 12,2/12/2018 9:35,2/25/2018 9:35,20,Planning,<ul><li>Order Experience 2.0</li></ul>,,
Consumer Site,Iteration 12,2/12/2018 9:35,2/25/2018 9:35,20,Planning,<ul><li>Order Experience 2.0</li></ul>,,
Fulfillment Team,Iteration 12,2/12/2018 9:35,2/25/2018 9:35,20,Planning,<ul><li>Order Experience 2.0</li></ul>,,
Online Store,Iteration 12,2/12/2018 9:35,2/25/2018 9:35,20,Planning,<ul><li>Order Experience 2.0</li></ul>,,
Payment Team,Iteration 12,2/12/2018 9:35,2/25/2018 9:35,20,Planning,<ul><li>Order Experience 2.0</li></ul>,,
Platform,Iteration 12,2/12/2018 9:35,2/25/2018 9:35,20,Planning,<ul><li>Order Experience 2.0</li></ul>,,
Reseller Portal Team,Iteration 12,2/12/2018 9:35,2/25/2018 9:35,20,Planning,<ul><li>Order Experience 2.0</li></ul>,,
Reseller Site,Iteration 12,2/12/2018 9:35,2/25/2018 9:35,20,Planning,<ul><li>Order Experience 2.0</li></ul>,,
Shopping Team,Iteration 12,2/12/2018 9:35,2/25/2018 9:35,20,Planning,<ul><li>Order Experience 2.0</li></ul>,,
Medical Records App,Iteration 4 - New Patients,11/20/2017 9:35,12/3/2017 9:35,8,Committed,New patients,,
Medical Records App,Iteration 5 - User Administration,12/4/2017 9:35,12/17/2017 9:35,8,Planning,User administration,,
