project,name,startdate,enddate,plannedvelocity,state,theme,notes,listing_order
Online Store,Iteration 8,9/7/2017 11:23,9/20/2017 11:23,22,Planning,<ul><li>Similar Products</li></ul>,,70
Payment Team,Iteration 8,9/7/2017 11:23,9/20/2017 11:23,22,Planning,<ul><li>Similar Products</li></ul>,,71
Platform,Iteration 8,9/7/2017 11:23,9/20/2017 11:23,22,Planning,<ul><li>Similar Products</li></ul>,,72
Reseller Portal Team,Iteration 8,9/7/2017 11:23,9/20/2017 11:23,22,Planning,<ul><li>Similar Products</li></ul>,,73
Reseller Site,Iteration 8,9/7/2017 11:23,9/20/2017 11:23,22,Planning,<ul><li>Similar Products</li></ul>,,74
Shopping Team,Iteration 8,9/7/2017 11:23,9/20/2017 11:23,22,Planning,<ul><li>Similar Products</li></ul>,,75
Analytics Team,Iteration 9,9/21/2017 11:23,10/4/2017 11:23,20,Planning,<ul><li>Personal Shopping Assistant</li></ul>,,76
API Team,Iteration 9,9/21/2017 11:23,10/4/2017 11:23,20,Planning,<ul><li>Personal Shopping Assistant</li></ul>,,77
Consumer Site,Iteration 9,9/21/2017 11:23,10/4/2017 11:23,20,Planning,<ul><li>Personal Shopping Assistant</li></ul>,,78
Fulfillment Team,Iteration 9,9/21/2017 11:23,10/4/2017 11:23,20,Planning,<ul><li>Personal Shopping Assistant</li></ul>,,79
Online Store,Iteration 9,9/21/2017 11:23,10/4/2017 11:23,20,Planning,<ul><li>Personal Shopping Assistant</li></ul>,,80
Payment Team,Iteration 9,9/21/2017 11:23,10/4/2017 11:23,20,Planning,<ul><li>Personal Shopping Assistant</li></ul>,,81
Platform,Iteration 9,9/21/2017 11:23,10/4/2017 11:23,20,Planning,<ul><li>Personal Shopping Assistant</li></ul>,,82
Reseller Portal Team,Iteration 9,9/21/2017 11:23,10/4/2017 11:23,20,Planning,<ul><li>Personal Shopping Assistant</li></ul>,,83
Reseller Site,Iteration 9,9/21/2017 11:23,10/4/2017 11:23,20,Planning,<ul><li>Personal Shopping Assistant</li></ul>,,84
Shopping Team,Iteration 9,9/21/2017 11:23,10/4/2017 11:23,20,Planning,<ul><li>Personal Shopping Assistant</li></ul>,,85
Analytics Team,Iteration 10,10/5/2017 11:23,10/18/2017 11:23,20,Planning,<ul><li>Custom Ordering</li></ul>,,86
API Team,Iteration 10,10/5/2017 11:23,10/18/2017 11:23,20,Planning,<ul><li>Custom Ordering</li></ul>,,87
Consumer Site,Iteration 10,10/5/2017 11:23,10/18/2017 11:23,20,Planning,<ul><li>Custom Ordering</li></ul>,,88
Fulfillment Team,Iteration 10,10/5/2017 11:23,10/18/2017 11:23,20,Planning,<ul><li>Custom Ordering</li></ul>,,89
Online Store,Iteration 10,10/5/2017 11:23,10/18/2017 11:23,20,Planning,<ul><li>Custom Ordering</li></ul>,,90
Payment Team,Iteration 10,10/5/2017 11:23,10/18/2017 11:23,20,Planning,<ul><li>Custom Ordering</li></ul>,,91
Platform,Iteration 10,10/5/2017 11:23,10/18/2017 11:23,20,Planning,<ul><li>Custom Ordering</li></ul>,,92
Reseller Portal Team,Iteration 10,10/5/2017 11:23,10/18/2017 11:23,20,Planning,<ul><li>Custom Ordering</li></ul>,,93
Reseller Site,Iteration 10,10/5/2017 11:23,10/18/2017 11:23,20,Planning,<ul><li>Custom Ordering</li></ul>,,94
Shopping Team,Iteration 10,10/5/2017 11:23,10/18/2017 11:23,20,Planning,<ul><li>Enhanced notifications</li></ul>,,95
Analytics Team,Iteration 11,10/19/2017 11:23,11/1/2017 11:23,20,Planning,<ul><li>Enhanced notifications</li></ul>,,96
API Team,Iteration 11,10/19/2017 11:23,11/1/2017 11:23,20,Planning,<ul><li>Enhanced notifications</li></ul>,,97
Consumer Site,Iteration 11,10/19/2017 11:23,11/1/2017 11:23,20,Planning,<ul><li>Enhanced notifications</li></ul>,,98
Fulfillment Team,Iteration 11,10/19/2017 11:23,11/1/2017 11:23,20,Planning,<ul><li>Enhanced notifications</li></ul>,,99
Online Store,Iteration 11,10/19/2017 11:23,11/1/2017 11:23,20,Planning,<ul><li>Enhanced notifications</li></ul>,,100
Payment Team,Iteration 11,10/19/2017 11:23,11/1/2017 11:23,20,Planning,<ul><li>Enhanced notifications</li></ul>,,101
Platform,Iteration 11,10/19/2017 11:23,11/1/2017 11:23,20,Planning,<ul><li>Enhanced notifications</li></ul>,,102
Reseller Portal Team,Iteration 11,10/19/2017 11:23,11/1/2017 11:23,20,Planning,<ul><li>Enhanced notifications</li></ul>,,103
Reseller Site,Iteration 11,10/19/2017 11:23,11/1/2017 11:23,20,Planning,<ul><li>Enhanced notifications</li></ul>,,104
Shopping Team,Iteration 11,10/19/2017 11:23,11/1/2017 11:23,20,Planning,<ul><li>Enhanced notifications</li></ul>,,105
Analytics Team,Iteration 12,11/2/2017 11:23,11/15/2017 11:23,20,Planning,<ul><li>Order Experience 2.0</li></ul>,,106
API Team,Iteration 12,11/2/2017 11:23,11/15/2017 11:23,20,Planning,<ul><li>Order Experience 2.0</li></ul>,,107
Consumer Site,Iteration 12,11/2/2017 11:23,11/15/2017 11:23,20,Planning,<ul><li>Order Experience 2.0</li></ul>,,108
Fulfillment Team,Iteration 12,11/2/2017 11:23,11/15/2017 11:23,20,Planning,<ul><li>Order Experience 2.0</li></ul>,,109
Online Store,Iteration 12,11/2/2017 11:23,11/15/2017 11:23,20,Planning,<ul><li>Order Experience 2.0</li></ul>,,110
Payment Team,Iteration 12,11/2/2017 11:23,11/15/2017 11:23,20,Planning,<ul><li>Order Experience 2.0</li></ul>,,111
Platform,Iteration 12,11/2/2017 11:23,11/15/2017 11:23,20,Planning,<ul><li>Order Experience 2.0</li></ul>,,112
Reseller Portal Team,Iteration 12,11/2/2017 11:23,11/15/2017 11:23,20,Planning,<ul><li>Order Experience 2.0</li></ul>,,113
Reseller Site,Iteration 12,11/2/2017 11:23,11/15/2017 11:23,20,Planning,<ul><li>Order Experience 2.0</li></ul>,,114
Shopping Team,Iteration 12,11/2/2017 11:23,11/15/2017 11:23,20,Planning,<ul><li>Order Experience 2.0</li></ul>,,115
Medical Records App,Iteration 4 - New Patients,8/10/2017 11:23,8/23/2017 11:23,8,Committed,New patients,,116
Medical Records App,Iteration 5 - User Administration,8/24/2017 11:23,9/6/2017 11:23,8,Planning,User administration,,117
